LON,LAT,resource_t,org_name,address,contact_na,contact_ti,phone,email,optional_r
-84.55176,38.868474,Ag Tourism Venue,Atwood Hill Winery,"1616 Spilllman Rd  Morning View, KY 41063",Julie Clinkenbeard,,(859) 356-1936,info@atwoodhillwinery.com,www.atwoodhillwinery.com
-84.856942,38.4274562,Ag Tourism Venue,Ayres Family Orchard,"525 Wilson Ln Owenton, KY 40359",Larry Ayres,,(502) 484-5236,ayresapples@att.net,www.ayresapples.com
-83.721629,38.1851518,Ag Tourism Venue,B&E Farms - State Creek Farms,"1787 Wyoming Road Owingsville, KY 40360",Mary/Robert Bach,,(606) 674-2953,marycrainbach@hotmail.com,
-83.7149181,36.8831429,Ag Tourism Venue,Baker Family Farm,"2219 Laurel Branch Road Walker, KY 40997",Grant Baker,,(606) 542-0077,gnmbaker@gmail.com,
-84.1444367,38.784478,Ag Tourism Venue,Baker-Bird Winery,"1941 Bradford Road Foster, KY 41043",Dinah Bird,,(606) 747-0616,dinahbird@earthlink.net,www.bakerbirdwinery.com
-84.3565416,37.7641282,Ag Tourism Venue,Baldwin Farms,"1113 Tates Creek Rd Richmond, KY 40476",Margery Baldwin,,(859) 582-5785,mbaldwin@baldwinfarmsky.com,www.baldwinfarmsky.com
-84.387603,38.0047831,Ag Tourism Venue,Barker's Christmas Tree Farm,"1500 Deer Haven Lane Lexington, KY 40509",Dale Barker,,(859) 223-4354,Dalebarker@insightbb.com,barkerschristmastreefarm.com
-84.7320143,37.1013888,Ag Tourism Venue,Bear Wallow Farm,"1225 Piney Grove Rd Nancy, KY 42544",Wesley Logsdon,,(606) 875-5160,bearwallowfarm@hotmail.com,www.bearwallowfarm.com
-84.6068797,38.8983932,Ag Tourism Venue,Benton Family Farm,"11896 Old Lexington Pike Walton, KY 41094",Mary Marcum,,(859) 485-7000,bentonfamilyfarm@aol.com,bentonfarm.com
-84.3,37.57,Ag Tourism Venue,Berea College Farm,"CPO 1743 Berea, KY 40404",Sean Clark,,(859) 985-3402,farmstore@berea.edu,www.berea.edu/anr/farm-enterprises/
-84.2971685,37.5708653,Ag Tourism Venue,Berea Urban Farm,"201 Adams Street Berea, KY 40403",Richard Olson,,(859) 985-1936,FarmMgmt@SustainableBerea.org,www.BereaUrbanFarm.org
-86.5093427,36.8235211,Ag Tourism Venue,Berrylicious Orchard,"531 Clay Starks Road Woodburn, KY 42170",Larissa Adams,,(270) 392-0211,Berryliciousorchard@yahoo.com,berryliciousorchard.com
-84.5639115,38.2267848,Ag Tourism Venue,Bi-Water Farm & Greenhouse,"877 Cincinnati Rd Georgetown, KY 40324",Stephen Fister,,(502) 863-3676,biwaterfarm@bellsouth.net,www.biwaterfarm.com
-85.3406946,38.2664102,Ag Tourism Venue,Big Springs Farm,"3840 Todds Point Road  Simpsonville, KY 40067",Catherine Fortener,,(502) 722-0624,Bgsprngsfrm@aol.com,bigspringsfarm.org
-84.8842874,38.2066286,Ag Tourism Venue,Bill's Bees,"3115 US Hwy 421 N Frankfort, KY 40601",William Dickerson,,(502) 418-0969,bill@aerialrobotics.com,
-84.143326,37.9470816,Ag Tourism Venue,Blewegrass Apiary,"4040 Muddy Creek Rd Winchester, KY 40391",Lauren White,,(606) 226-4866,blewegrassapiary@gmail.com,www.facebook.com/profile.php?id=100009290006005&fref=ts
-84.6368556,38.8856221,Ag Tourism Venue,Blue Ribbon Market Gruelle Farm,"12250 Gaines Way  Walton, KY 41094",Ronald L. Gruelle,,(859) 485-7711,dgruelle@cpgnet.com,www.blueribbonmarket.com
-87.0842622,37.6800383,Ag Tourism Venue,Blueberries Of Daviess County,"1401 Hill Bridge Rd  Utica, KY 42376",Nancy Mccormick,,(270) 926-6510,blueberriesofdaviesscounty@yahoo.com,blueberriesofdaviesscounty.com
-86.2211867,36.9500829,Ag Tourism Venue,Bluegrass Blueberries,"11067 Porter Pike Rd Oakland, KY 42159",Jeff & Kim Essig,,(270) 432-5836,blueberrynurseryky@gmail.com,www.bluegrassblueberries.com
-83.9011878,38.0593107,Ag Tourism Venue,Bramble Ridge Orchard And Farm,"2726 Osborne Rd Mt Sterling, KY 40353",Carol & Rick Gunderson,,(859) 274-4063,rick@compulinx.net,www.brambleridgefarmandorchard.com
-85.3316969,38.5674913,Ag Tourism Venue,Bray Orchard & Roadside Market,"2580 Hwy 42 W Bedford, KY 40006",Jamae Bray Pyles,,(502) 255-3607,brayorch@bellsouth.net,www.brayorchards.com
-84.8756481,38.1541498,Ag Tourism Venue,Brooks Hill Farm,"1131 Johnson Rd  Frankfort, KY 40601",Deborah B Hill,,(859) 271-9499,dbhill@uky.edu,
-84.8965948,38.0795166,Ag Tourism Venue,Buckmeadow Farms,"1384 Ninevah Rd Lawrenceburg, KY 40342",Kelli Buckley,,(502) 680-1824,buckmeadowfarms@yahoo.com,
-85.1465341,37.0187381,Ag Tourism Venue,Cabin on the Hill Bed & Breakfast,"1019 Mt. Pleasant Road Russell Springs, KY 42642",Pam and Randy York,,(270) 585-3608,youks3aduo-county.com,
-86.2838622,37.8803429,Ag Tourism Venue,Calisi Farm Vineyard,"10702 W Hwy 86 Irvington, KY 40146",Sam Calisi,,(270) 547-7774,sccalisi@gmail.com,
-85.2557087,37.7066333,Ag Tourism Venue,Campbell's West Wind Farm,"2888 Bardstown Rd Springfield, KY 40069",Norma Jean Campbell,,(859) 336-9283,normajcampbell@bellsouth.net,
-84.7436438,37.8457118,Ag Tourism Venue,Canaan Land Farm,"700 Canaan Land Rd Harrodsburg, KY 40330",Alan McIntosh,,(888) 734-3984,mcintal@aol.com,
-84.9422157,37.651901,Ag Tourism Venue,Canadian Camp Farm,"626 E. 2Nd St. Perryville, KY 40468",Chris Brummett,,(859) 583-9780,chrisbrummett@kywimax.com,
-87.965752,36.8174434,Ag Tourism Venue,Carolines Garden,"68 Audrey Ave Cadiz, KY 42211",James Redd,,(270) 348-1175,Jandhredd@gmail.com,
-86.4183749,36.8807096,Ag Tourism Venue,Cason's Cove Cottage & Venue,"3140 Plano Rd Bowling Green, KY 42104",Gabriele Bush,,(270) 202-0303,gabpics2@gmail.com,www.casonscove.com
-87.60732,37.7261418,Ag Tourism Venue,Cates Farm,"8132 Pruitt Agnew Rd Henderson, KY 42420",Amy Cates,,(270) 827-1135,catesfarmpro@yahoo.com,
-84.6948276,37.2196969,Ag Tourism Venue,Cave Hill Vineyard & Winery LLC,"2115 Smith Ridge Rd Eubank, KY 42567",Bill & Debbie Patterson,,(606) 423-3453,info@cavehillvineyard.com,www.cavehillvineyard.com
-84.6958466,37.2205468,Ag Tourism Venue,Cave Hill Winery LLC,"45 Cave Hill Way Eubank, KY 42567",Debbie Patterson,,(606) 423-3453,wine@cavehillvineyard.com,cavehillvineyard.com
-87.9085204,37.1422109,Ag Tourism Venue,Cayce's Pumpkin Patch/Cayce Farms,"153 Farmersville Road  Princeton, KY 42445",Harold Cayce,,(270) 365-2132,e.cayce@att.net,www.caycespumpkinpatch.com
-83.8756672,37.9870039,Ag Tourism Venue,Cecil Farm,"6829 Camargo Rd Jeffersonville, KY 40337",Amy or Courtney Cecil,,(859) 432-8320,cecilfarms10@yahoo.com,
-87.3198831,37.6606167,Ag Tourism Venue,Cecil Farms Produce Delivery,"8753 and 9408 Mulligan Road Owensboro, KY 42301",Suzanne Cecil White,,(270) 929-1445,suzannececilwhite@gmail.com,www.cecilfarmspd.com
-84.453277,37.129597,Ag Tourism Venue,Cedar Creek Vineyards,"294 Cedar Creek Lane  Somerset, KY 42501",Jeffrey Wiles,,(606) 274-1964,jeff@cedarcreekvineyards.net,www.cedarcreekvineyards.net
-85.0051877,38.2225369,Ag Tourism Venue,Cedar Fire LLC,"758 Beechridge Rd Frankfort, KY 40601",Thecla Helmbrecht Howard,,,thecla@hughes.net,
-87.5594,37.8704134,Ag Tourism Venue,Chaps,"826 Lamont Lane Henderson, KY 42420",James Franks,,,jefranks55@gmail.com,
-84.504538,37.839464,Ag Tourism Venue,Chrisman Mill Vineyards,"2385 Chrisman Mill Road  Nicholasville, KY 40356",Denise J Nelson,,(859) 881-5007,chrismanmill@aol.com,www.chrismanmill.com
-87.301818,37.034932,Ag Tourism Venue,Christian Way Farm LLC,"19590 Linville Rd Hopkinsville, KY 42240",Milton & Janie Corley,,(270) 269-2434,christianwayfarm@gmail.com,www.christianwayfarm.com
-86.5609772,36.8553366,Ag Tourism Venue,Circle W Farms,"680 Travelstead Rd Woodburn, KY 42170",Kristen Wyrick,,,circlewfarmsky@hotmail.com,
-84.234337,37.5063699,Ag Tourism Venue,Clear Creek Community Farm,"1882 Hammonds Fork Rd Disputanta, KY 40456",Michael Beck,,(606) 256-0820,michaelbeck14903@gmail.com,
-85.277316,38.1102194,Ag Tourism Venue,Coop's Rockies Farm,"299 Haley Road Shelbyville, KY 40065",Alicia Coop,,(502) 777-4949,aliciacoop@rocketmail.com,
-85.2194839,38.4588076,Ag Tourism Venue,Cooper Family Farm,"920 Scobie Lane  New Castle, KY 40050",Sharon or Robert Cooper,,(502) 744-5793,cooperfamilyfarm@gmail.com,
-85.6370372,38.0156987,Ag Tourism Venue,Country Corner Greenhouse & Nursery Inc.,"4877 Hwy 44E Shepherdsville, KY 40165",Ann Vowels,,(502) 955-8635,countrycornergreenhouse@gmail.com,www.countrycornergreenhouse.com
-85.8026498,37.6267315,Ag Tourism Venue,Crawford Farms,"3999 Hodgenville Rd Elizabethtown, KY 42701",Mason Crawford,,,info@crawfordgrowgreen.com,www.crawfordpumpkins.com
-84.7830145,37.9789237,Ag Tourism Venue,Crowley's Mill,"475 Arrowhead Springs Lane Versailles, KY 40383",Terri Crowley,,(859) 753-5806,terrigcrowley@yahoo.com,www.crowleysmill.com
-87.9166915,37.6833776,Ag Tourism Venue,Cullenook Farm,"4819 St Rt 758  Morganfield, KY 42437",Carole Cowan,,(270) 952-8488,carole@cullenookfarm.com,www.cullenookfarm.com
-85.3705186,36.7903399,Ag Tourism Venue,Cumberland River Trading Company,"1043 Freeferry Rd Burkesville, KY 42717",David R Booher,,(270) 443-5172,david.booher@wayne.kyschools.us,
-87.468477,36.8647335,Ag Tourism Venue,Daigre Farms,"1531 East 7Th St. Hopkinsville, KY 42240",Carolsue Daigre,,(270) 344-1429,daigrefarms@hotmail.com,
-86.5743812,36.9304828,Ag Tourism Venue,Dancing Wind Berry Farm,"1289 Rockfield Browning Rd Rockfield, KY 42274",Julie Kratts,,(270) 535-7237,dancingwindberryfarm@gmail.com,
-84.9115995,37.842097,Ag Tourism Venue,Daynabrook Greenhouse And Farm,"1035 Hopewell Road Harrodsburg, KY 40330",John Lyons,,(859) 734-7863,lyons.lawncare@gmail.com,www.daynabrook.com
-84.873988,37.851806,Ag Tourism Venue,Devine's Farm & Corn Maze,"188 Man O War Harrodsburg, KY 40330",Glenn & Martina Devine,,(859) 613-6900,info@devinescornmaze.com,www.devinescornmaze.com
-88.6734401,37.0102176,Ag Tourism Venue,Dossey Vineyards LLC  DBA Purple Toad Winery,"4275 Old US Hwy 45 Paducah, KY 42003",Allen Dossey,,(270) 554-0010,,www.purpletoadwinery.net
-84.9169094,37.9622424,Ag Tourism Venue,"Drake Ridge Farms, Llc","0 Bonds Mill Rd Lawrenceburg, KY 40342",Sam Drake,,(502) 751-8402,samdrakejr@gmail.com,
-84.699025,37.9984803,Ag Tourism Venue,Eckert's-Boyd Orchard,"1396 Pinkard Pike Versailles, KY 40383",Angie Eckert,,(859) 873-3097,angie.eckert@eckerts.com,www.eckerts.com/versailles
-87.9404805,37.0661888,Ag Tourism Venue,Eddy Grove Vineyard,"300 Martin Rd  Princeton, KY 42445",Jenny Franke,,(270) 365-9463,jfranke@medicinemanwines.com,www.medicinemanwines.com
-83.5333791,37.723377,Ag Tourism Venue,Emily's Welcome Inn B&B,"49 Swift Camp Creek Road Campton, KY 41301",Susan Lacy,,(606) 481-1750,susan.lacy@wolfe.kyschools.us,www.emilysbandb.com
-84.4811879,36.7431325,Ag Tourism Venue,End of the Road Farm,"232 West Ridge Marshes Siding, KY 42631",Larry E. King,,,kinglarry@hotmail.com,
-84.6448674,38.1586591,Ag Tourism Venue,Equus Run Vineyards LLC,"1280 Moore's Mill Rd  Midway, KY 40347",Cynthia Bohn,,(859) 846-9463,info@equusrunvineyards.com,www.equusrunvineyards.com
-84.1331782,37.0844462,Ag Tourism Venue,Evening Shade,"2522 W Laurel Rd London, KY 40741",Elizabeth Risner,,(606) 877-2066,erisner5644@gmail.com,
-86.302044,37.92072,Ag Tourism Venue,Fairview Lavender Farm,"3700 Sandy Hill Rd. Webster, KY 40176",Sharon Ballard,,(270) 547-3522,fairviewlavender@gmail.com,www.fairviewlavender.com
-84.4595443,37.9319932,Ag Tourism Venue,Fairyhouse Hall,"3250 Delong Road Lexington, KY 40515",Heather McKeever Haffey,,(843) 323-1174,fairyhousehall@me.com,
-85.6681294,38.2145853,Ag Tourism Venue,Farmington Historic Plantation,"3033 Bardstown Rd Louisville, KY 40205",Rachel Fautz,,(502) 452-9920,farmington@historichomes.org,www.historichomes.org
-86.7006662,36.8651525,Ag Tourism Venue,Federal Grove Farms,"475 E Main Street Auburn, KY 42206",Lee Blythe,,(270) 542-6106,lee@federalgrove.com,www.federalgrove.com
-84.9076881,37.375373,Ag Tourism Venue,First Day Farm,"938 Chelf Ridge Rd Hustonville, KY 40437",Scott Russell,,(270) 566-2303,scottnamy@firstdayfarm.com,www.firstdayfarm.com
-83.5870218,37.5619165,Ag Tourism Venue,Foggy Mountain Mill  Co.,"8881 Hwy 52 East Beattyville, KY 41311",Glenn Kincaid,,(606) 464-3997,glenn.kincaid01@yahoo.com,
-84.0592988,38.3377837,Ag Tourism Venue,Forest Retreat Bed & Breakfast Event Venue,"4179 Maysville Road Carlisle, KY 40311",Allysha Edmond,,(606) 748-4994,Forestretreatbnb@gmail.com,www.forestretreatky.com
-84.3302142,38.6767372,Ag Tourism Venue,Fox Run Environmental Education Center,"PO Box 174 Falmouth, KY 41040",Ame Vanorio,,,foxruneec@gmail.com,www.foxruneec.org
-85.0674516,38.6097865,Ag Tourism Venue,Fox Whistle Farm,"1850 Highway 325 Worthville, KY 41098",Sara Kinney,,(718) 909-2889,sara@skinneypro.com,
-86.4017785,37.1267069,Ag Tourism Venue,Frints Adventure Farm,"1364 Jack Simmons Rd Bowling Green, KY 42101",Ron & Carolyn Frint,,(270) 784-6568,,
-84.2774396,38.3039127,Ag Tourism Venue,Fryman Farm,"417 Mt Carmel Rd Cynthiana, KY 41031",Vickie Fryman,,(859) 987-1758,frymanfarm@att.net,
-84.2806058,37.8956131,Ag Tourism Venue,Full Moon Farm,"269 Combs Ferry Road Richmond, KY 40475",Margaret Gagnon,,,marcy.gagnon@gmail.com,
-86.434521,36.9664157,Ag Tourism Venue,Fuqua Land Co,"980 Browning Road Rockfield, KY 42274",Mike Fuqua,,(270) 796-9159,mfuqua@party1superstore.com,
-84.760711,37.6853381,Ag Tourism Venue,Gabe's Place,"75 Spears Lane Danville, KY 40422",Tom And Pamela Lane,,(859) 583-5279,pamelalane@me.com,
-85.1575322,38.2297152,Ag Tourism Venue,Gallrein Farms,"1029 Vigo Rd  Shelbyville, KY 40065",Milia Hurst,,(502) 633-4849,gallreinfarms@aol.com,www.gallreinfarms.com
-83.0112932,38.3981392,Ag Tourism Venue,Garden Gate Greenhouse,"13806 N State Hwy 7 Grayson, KY 41143",Julie Bush,,(606) 475-9960,gardengate@windstream.net,www.gardengateky.com
-86.0131768,37.0902755,Ag Tourism Venue,Gateway Vineyard/Smith Farm,"26187 Louisville Road Park City, KY 42160",Nathaniel & Tonya Smith,,(270) 749-5082,gatewayvineyard@gmail.com,www.gatewayvineyard.us
-84.7802489,38.6295303,Ag Tourism Venue,"Gatewood Arena, Inc.","4470 Jonesville Rd. Dry Ridge, KY 41035",Paula Gatewood,,(502) 484-5625,gatewoodarena@yahoo.com,gatewoodarena.com
-84.430975,38.941678,Ag Tourism Venue,Generation Hill Winery,"335 Poplar Thicket Rd  Alexandria, KY 41001",Bill or Sherry Buda,,(859) 694-1561,generationhill@hotmail.com,
-85.385052,36.9605736,Ag Tourism Venue,Go Blue Berry Farms,"3105 Independence Ridge Rd. Breeding, KY 42715",John McGlone,,(270) 378-4825,johnmcglone@msn.com,goblueberryfarm.com
-86.3120009,36.972162,Ag Tourism Venue,Grace Pointe Events,"Porter Pike Bowling Green, KY 42103",Patricia Quinn,,(615) 943-7606,Trish@gracepointeevents.com,gracepointeevents.com
-86.7767613,36.9480556,Ag Tourism Venue,Gripshover Family Farm,"641 Woodward Rd Auburn, KY 42206",Ellie Gripshover,,(270) 542-2128,gripshover@aol.com,www.facebook.com/GripshoverFamilyFarm/?ref=bookmarks
-84.3879529,37.5475874,Ag Tourism Venue,Halcomb's Knob LLC,"430 Wallacetown Rd Paint Lick, KY 40461",Deborah Messenger,,(859) 925-9936,halcombsknob@windstream.net,www.halcombsknob.com
-84.72697,37.064098,Ag Tourism Venue,Haney's Appledale Farm,"8350 Hwy W 80 Nancy, KY 42544",Mark & Don Haney,,(606) 636-6148,haneys@haneysappledalefarm.com,www.haneysappledalefarm.com
-87.4280645,37.4157503,Ag Tourism Venue,Hanson Berry Farms,"3178 Eastlawn Rd  Madisonville, KY 42431",Scott Wells,,(270) 322-8110,info@hansonberryfarms.com,www.hansonberryfarms.com
-87.3925036,37.6164881,Ag Tourism Venue,Happy Hollow Farms,"9730 KY 136 W Calhoun, KY 42327",James Murdock,,(270) 499-3774,kale_0000@yahoo.com,
-84.7711464,38.1956773,Ag Tourism Venue,Happy Jack Pumpkin and Produce,"966 Hickman Hill Rd Frankfort, KY 40601",Lee Ann Jones,,(502) 695-7518,lkjones751@gmail.com,www.happyjackspumpkinfarm.com
-84.820538,37.014153,Ag Tourism Venue,Harmony Acres,"2194 Ard Ridge Road Nancy, KY 42544",Steve Vanhorn,,(606) 871-9506,dvanhorn2194@gmail.com,
-84.4725121,37.0873144,Ag Tourism Venue,Heffelfinger Tree Farm,"380 Colo-Grade Rd Somerset, KY 42501",Melissa Heffelfinger,,(606) 219-7989,lissheff@gmail.com,www.facebook.com/HeffelfingerTreeFarm
-85.4962424,38.3615855,Ag Tourism Venue,Hemmer Hill Farm,"7401 Old Zaring Rd Crestwood, KY 40014",Joyce Hemmer Keibler,,(502) 228-3860,joycekeibler@insightbb.com,hemmerhillfarm.com
-84.5056481,37.4196135,Ag Tourism Venue,Hen-Cey Hollow Farm,"3183 Ky Hwy 39 S Crab Orchard, KY 40419",Tracey Miller,,(606) 510-3660,traceyloumiller@gmail.com,HTMARTISANS.COM
-88.5362056,36.9286224,Ag Tourism Venue,Henson Broom Shop & General Store,"1060 St. Rt. 348 East  Symsonia, KY 42082",Richard or Barbara Henson,,(270) 851-8510,brooms@mediacombb.net,www.hensonbrooms.com
-86.2936044,36.7745866,Ag Tourism Venue,Hickory Lane Farm {Need More Acres},"395 Hickory Lane Scottsville, KY 42164",Nathan Howell,,(270) 799-5563,michelle.lifeisgood@gmail.com,www.needmoreacres.com
-83.8635886,38.0141512,Ag Tourism Venue,Hickory Springs Of Montgomery Daylilies,"4410 Mccormick Rd Mt Sterling, KY 40353",Donna Jones,,(859) 498-2371,hickoryspringsofmontgomery@hotmail.com,
-82.8031319,37.891473,Ag Tourism Venue,Hidden Holler Farm,"18 A Hill Lane Stambaugh, KY 41257","Ashley Michelle Meek, DVM",,(606) 793-4540,amichellemusic@gmail.com,
-87.567432,37.7370135,Ag Tourism Venue,Hillcrest Baskets & Greenhouse,"4201 Anthoston-Frog Island Rd  Henderson, KY 42420",Karen O'Nan Martin,,(270) 827-2275,makomartin@att.net,hillcrestbaskets.webs.com
-82.9754653,37.334794,Ag Tourism Venue,Hindman Settlement School,"56 Education Lane Hindman, KY 41822",Jason Brashear,,(606) 785-5475,jbrashear@hindmansettlement.org,www.hindmansettlement.org
-85.6195037,37.4998227,Ag Tourism Venue,Hinton's Orchard & Farm Market,"8361 Campbellsville Rd  Hodgenville, KY 42748",Jeremy And Joanna Hinton,,(270) 325-3854,joanna@hintonsorchard.com,www.hintonsorchard.com
-85.6280898,38.3479962,Ag Tourism Venue,Hiphip Homemade,"6700 Riverway Dr Prospect, KY 40059",Shannon Drabant,,(502) 494-9831,Drabant@me.com,
-83.8888138,36.8664765,Ag Tourism Venue,Historic McNeils Crossing,"200 Ky 1530 Barbourville, KY 40906",David Cornett,,(606) 546-8179,cornettcycles@yahoo.com,
-86.5029617,36.8916561,Ag Tourism Venue,Historic Potter Farm,"1100 Richpond Rd Bowling Green, KY 42104",Greg & Joe Ann Gary,,(270) 782-2309,historicpotter farm@gmail.com,www.historicpotterfarm.com
-85.0186158,38.446702,Ag Tourism Venue,Holy Branch Gourds,"197 Casey Ln Box 16 Bethlehem, KY 40007",Art & Bonnie Lander,,(502) 845-2368,info@holybranchgourds.com,www.holybranchgourds.com
-84.154018,37.570007,Ag Tourism Venue,Homegrown Hideaways,"500 Floyd Branch Rd Berea, KY 40403",Nathan Or Jessa Turner,,(859) 986-3478,jessa@homegrownhideaways.org,www.HomeGrownHideAways.org
-84.535079,38.8139589,Ag Tourism Venue,"Honey Locust Farms, Llc","15100 Madison Pike Morning View, KY 41063",Becky Darnell,,(859) 356-2253,honeylocustfarms@gmail.com,www.honeylocustfarms.com
-85.135368,38.277963,Ag Tourism Venue,Hornback Farms,"6102 Cropper Rd Shelbyville, KY 40065",Pat Hornback,,(502) 461-9005,pmh@shelbybb.net,
-86.418992,36.7234879,Ag Tourism Venue,Horseman's Rest Bed And Breakfast,"314 Hack Brown  Rd Franklin, KY 42134",Sandra Placco,,(270) 586-6660,equine@apex.net,
-86.457005,37.043548,Ag Tourism Venue,Jackson's Orchard & Nursery Inc,"1280 Slim Island Rd Bowling Green, KY 42101",Bill Jackson,,(270) 781-5303,JacksonsOrchard@hughes.net,www.jacksonsorchard.com
-84.3770192,37.9290116,Ag Tourism Venue,Jean Farris Winery & Bistro,"6825 Old Richmond Rd  Lexington, KY 40515",Jeanie O'Daniel,,(859) 263-9463,info@jeanfarris.com,www.jeanfarris.com
-84.6117099,38.3041746,Ag Tourism Venue,Jenkins Goods From The Woods,"605 Sulphur Wells Rd  Georgetown, KY 40324",Annette Jenkins,,,one.shortee@yahoo.com,
-84.2449169,38.2709502,Ag Tourism Venue,Julie's Pumpkins,"1069 Ruddles Mill Rd  Paris, KY 40361",Julie & Dennie Ferrell,,(859) 987-4498,julieferrell@att.net,
-86.6500685,36.8683251,Ag Tourism Venue,Just Piddlin Farm,"10830 S. Morgantown Rd Woodburn, KY 42170",Chip & Jill Willingham,,(270) 542-6769,rwillingham@logantele.com,www.justpiddlinfarm.com
-85.3920811,37.0595344,Ag Tourism Venue,K&A Homestead,"2226 Jones Chapel Road Columbia, KY 42728",Annie Greenwell,,,Annienielsen87@yahoo.com,
-84.9914908,38.2750373,Ag Tourism Venue,Keach Manor,"4701 Lebanon Rd Bagdad, KY 40003",Nathe & Amy Keach,,(502) 607-0262,info@keach.us,www.keach.us
-86.1905424,36.7533781,Ag Tourism Venue,Kentucky Moon Vineyard LLC,"286 Erwin Rd Scottsville, KY 42164",Bob Zoellner,,(270) -,kentuckymoonvineyard@outlook.com,
-82.5196744,38.0054904,Ag Tourism Venue,Kentucky Roots,"9710 N Hwy    3  Louisa, KY 41230",Jerrie Cossett,,(606) 686-2387,logjam@foothills.net,
-86.1263809,37.6846411,Ag Tourism Venue,Kg Farms,"368 Johnny Goodman Ln Cecilia, KY 42724",Kathryn Goodman,,(270) 763-2688,goodmankathryn@hotmail.com,
-87.1901202,37.6947426,Ag Tourism Venue,King's Country Gardens,"6247 Hwy 81  Owensboro, KY 42301",Ella B. & Carl King,,(270) 683-7518,ebking55aol.com,
-84.764774,39.015189,Ag Tourism Venue,Kinman Farms,"4175 Burlington Pike Burlington, KY 41005",Aaron Anderson,,(859) 689-2682,kinmanfarms@aol.com,www.kinmanfarmsfallfest.com
-84.8469408,36.9434568,Ag Tourism Venue,"Lake Cumberland Winery, Inc.","122 Cedar Lane Farm Monticello, KY 42633",Norrie Wake,,(606) 348-5253,norrie@lakecumberlandwinery.com,www.lakecumberlandwinery.com
-84.1095705,38.1495329,Ag Tourism Venue,Lavender Breeze Farm,"343 College Rd. Paris, KY 40361",Veronica Demuro,,(859) 362-2444,ronniedem@gmail.com,
-84.0478303,38.6544098,Ag Tourism Venue,Lavender Hills Of Kentucky Llc,"229 Conrad Ridge Rd  Brooksville, KY 41004",Judy Brothers,,(606) 735-3355,dscaringi@twc.com,www.lavenderhillsofkentucky.com
-84.2529869,38.2097987,Ag Tourism Venue,Lazy Days Farm,"1757 Ruddles Mills Rd  Paris, KY 40361","James, Pam & Ashley Cundiff",,(859) 987-6932,,
-84.340637,38.991928,Ag Tourism Venue,Little Rock Farm,"2802 Ten Mile Rd  Camp Springs, KY 41059",Stephanie Zink,,(859) 635-9668,lrf@campsprings.com,
-84.8755907,38.0929396,Ag Tourism Venue,Lovers Leap Vineyards & Winery,"1180 Lanes Mill Road Lawrenceburg, KY 40342",Brian Sivinski,,(502) 839-1299,brian@loversleapwine.com,www.loversleapwine.com
